Canva,1.00,1/8/18,Australia,Collaboration & Project Management,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Nubank,2.00,3/1/18,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
Kik Interactive,1.00,8/18/15,Canada,Social,"Union Square Ventures, RRE Ventures, Spark Capital"
Panshi,1.00,5/5/15,China,Adtech,"WI Harper Group, Fang Fund Partners, NewMarging Ventures"
Face++ (Megvii),1.00,10/31/17,China,AI / Facial Recognition,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
NIO,5.00,3/15/17,China,AutoTech,"Baidu Venture Capital, Capital Today, GIC"
Cambricon,1.00,8/18/17,China,Chips & Semiconductors,"Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group"
Trendy Group International,2.00,2/13/12,China,Clothing & Accessories,L Capital Partners
YITU Technology,2.37,3/8/18,China,Computer Vision,"Sequoia Capital China, Banyan Capital"
SenseTime,1.47,7/11/17,China,Computer Vision/ AI,"Star VC, IDG Capital, Infore Capital"
Tongdun Technology,1.00,10/10/17,China,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Toutiao,11.00,4/7/17,China,Digital Media,"Sequoia Capital China, SIG Asia Investments, Sina Weibo"
Pindouduo,1.50,7/20/16,China,eCommerce,"Tencent Holdings, Banyan Capital, Cathay Innovation"
Dada,1.00,12/31/15,China,eCommerce,"Sequoia Capital China, DST, Greenwoods Asset Management"
China Internet Plus Holding (Meituan Dianping),30.00,12/22/15,China,eCommerce/Marketplace,"DST Global, Trustbridge Partners, Capital Today"
Lianjia,5.80,4/8/16,China,eCommerce/Marketplace,"Tencent, Baidu, Huasheng Capital"
Maoyan-Weiying,3.00,11/10/17,China,eCommerce/Marketplace,"Tencent Holdings, Enlight Media Group"
VANCL,3.00,12/14/10,China,eCommerce/Marketplace,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
Weiying,2.00,11/17/15,China,eCommerce/Marketplace,"Tencent, iDreamSky Technology, GGV Capital"
Tujia,1.50,6/17/15,China,eCommerce/Marketplace,"GGV Capital, QiMing Venture Partnersl"
Koudai Gouwu,1.40,10/23/14,China,eCommerce/Marketplace,"New Enterprise Associates, Tiger Global management, Tencent"
Jiuxian,1.05,7/30/15,China,eCommerce/Marketplace,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
Fanli,1.00,4/20/15,China,eCommerce/Marketplace,"QiMing Venture Partners, Steam boat Ventures"
BeiBei,1.00,1/22/15,China,eCommerce/Marketplace,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
Zhaogang,1.00,6/29/17,China,eCommerce/Marketplace,"K2 Ventures, Matrix Partners China, IDG Capital"
Mia.com,1.00,9/8/15,China,eCommerce/Marketplace,"Sequoia Capital China, ZhenFund, K2 Ventures"
Xiaohongshu,1.00,3/31/16,China,eCommerce/Marketplace,"GGV Capital, ZhenFund, Tencent"
Guazi,1.00,3/12/16,China,eCommerce/Marketplace,"Sequoia Capital China, GX Capital"
XiaoZhu,1.00,11/1/17,China,eCommerce/Marketplace,"Morningside Ventures, Capital Today, JOY Capital"
iTutorGroup,1.00,11/18/15,China,Ed Tech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
Vipkid,1.50,8/23/17,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Yuanfudao,1.00,5/31/17,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
HuJiang,1.00,10/29/15,China,Edtech,"China Minsheng Investment, Baidu, Wanxin Media"
17zuoye,1.00,3/7/18,China,EdTech,"DST Global, Temasek Holdings"
Mofang Gongyu,1.00,4/13/16,China,Facilities,"Warburg Pincus, Aviation Industry Corporation of China"
Lu.com,18.50,12/26/14,China,Fintech,"Ping An Insurance CDH Investments, Bank of China"
LaKala,1.60,6/23/15,China,Fintech,"China Continent Property & Casualty Insurance, China Renaissance Capital Investment, China Taiping Life Insurance"
Tuandaiwang,1.46,5/30/17,China,Fintech,"Beihai Hongtai Investment, China Minsheng Investment, Yisheng Innovation"
51Xinyongka,1.00,9/21/16,China,Fintech,"GGV Capital, JD.com, Meridian Capital China"
Meicai,2.80,1/11/18,China,Food & Grocery,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Xiaomi,46.00,12/21/11,China,Hardware,"Digital Sky Technologies, QiMing Venture Partners, Qualcomm Ventures"
DJI Innovations,10.00,5/6/15,China,Hardware,"Accel Partners, Sequoia Capital"
Meizu Technology,4.58,7/23/14,China,Hardware,"Telling Telecommunication Holding Co., Alibaba Group"
